,Time,^GSPC,CL=F,BZ=F,UNG,GC=F,URA,XLE
1338,2023-02-03 05:00:00,4171.925509982639,75.62999725341797,81.91999816894531,33.10666614108615,1928.5999755859375,22.89333258734809,86.84333377414279
1339,2023-02-03 06:00:00,4171.094970703125,75.79000091552734,82.12999725341797,33.05999946594238,1929.5,22.862499237060547,86.93000030517578
1340,2023-02-03 07:00:00,4170.264431423611,75.52999877929688,81.83999633789062,33.013332790798614,1927.5999755859375,22.831665886773003,87.01666683620877
1341,2023-02-03 08:00:00,4169.433892144098,75.7699966430664,82.04000091552734,32.96666611565484,1925.9000244140625,22.80083253648546,87.10333336724176
1342,2023-02-03 09:00:00,4168.603352864583,76.22000122070312,82.54000091552734,32.91999944051107,1927.0999755859375,22.769999186197918,87.18999989827473
1343,2023-02-03 10:00:00,4167.772813585069,75.83000183105469,82.02999877929688,32.873332765367294,1925.9000244140625,22.739165835910374,87.27666642930772
1344,2023-02-03 11:00:00,4166.942274305556,75.86000061035156,82.1500015258789,32.826666090223526,1928.5999755859375,22.70833248562283,87.36333296034071
1345,2023-02-03 12:00:00,4166.111735026042,76.01000213623047,82.31999969482422,32.77999941507975,1929.199951171875,22.677499135335285,87.4499994913737
1346,2023-02-03 13:00:00,4165.281195746527,76.5999984741211,82.81999969482422,32.73333273993598,1900.300048828125,22.646665785047745,87.53666602240668
1347,2023-02-03 14:00:00,4164.450656467014,77.30999755859375,83.38999938964844,32.686666064792206,1895.9000244140625,22.6158324347602,87.62333255343967
1348,2023-02-03 14:00:00,4163.6201171875,77.22999954223633,83.36000061035156,32.63999938964844,1891.1500244140625,22.584999084472656,87.70999908447266
1349,2023-02-03 15:00:00,4170.0,77.1500015258789,83.33000183105469,32.64999961853027,1886.4000244140625,22.61704921722412,87.30500030517578
1350,2023-02-03 16:00:00,4176.3798828125,75.86999893188477,82.09500122070312,32.65999984741211,1883.9500122070312,22.649099349975586,86.9000015258789
1351,2023-02-03 16:00:00,4175.35986328125,74.58999633789062,80.86000061035156,32.459999084472656,1881.5,22.602049827575684,86.75749969482422
1352,2023-02-03 16:00:00,4174.33984375,74.19999694824219,80.47000122070312,32.2599983215332,1878.9000244140625,22.55500030517578,86.61499786376953
1353,2023-02-03 17:00:00,4158.364990234375,73.80999755859375,80.08000183105469,32.349998474121094,1876.300048828125,22.46500015258789,86.34749984741211
1354,2023-02-03 18:00:00,4142.39013671875,73.7249984741211,80.06999969482422,32.439998626708984,1877.3500366210938,22.375,86.08000183105469
1355,2023-02-03 18:00:00,4139.925048828125,73.63999938964844,80.05999755859375,32.67999839782715,1878.4000244140625,22.274999618530273,86.17000198364258
1356,2023-02-03 18:00:00,4137.4599609375,73.40499877929688,79.88999938964844,32.91999816894531,1878.5499877929688,22.174999237060547,86.26000213623047
1357,2023-02-03 19:00:00,4136.800048828125,73.16999816894531,79.72000122070312,32.90999984741211,1878.699951171875,22.1899995803833,86.2125015258789
1358,2023-02-03 20:00:00,4136.14013671875,73.18999862670898,79.71500015258789,32.900001525878906,1878.3499755859375,22.204999923706055,86.16500091552734
1359,2023-02-03 20:00:00,4136.330078125,73.20999908447266,79.70999908447266,32.790000915527344,1878.0,22.177499771118164,86.08499908447266
1360,2023-02-03 20:00:00,4136.52001953125,73.22000122070312,79.73500061035156,32.68000030517578,1877.8499755859375,22.149999618530273,86.00499725341797
1361,2023-02-03 21:00:00,4134.487250434027,73.2300033569336,79.76000213623047,32.6800225575765,1877.699951171875,22.12666628095839,85.9458253648546
